,source,target,value
0,Naruto,Sasuke,877
1,Sakura,Sasuke,459
2,Naruto,Sakura,404
3,Hinata,Naruto,358
4,Orochimaru,Sasuke,279
5,Akamaru,Kiba,247
6,Kurenai,Yakumo,227
7,Kakashi,Sasuke,220
8,Kiba,Naruto,218
9,Naruto,Tsunade,194
10,Akamaru,Naruto,180
11,Ino,Sakura,153
12,Kakashi,Naruto,152
13,Naruto,Neji,142
14,Naruto,Orochimaru,127
15,Iruka,Naruto,124
16,Lee,Naruto,119
17,Guy,Lee,110
18,Lee,Sasuke,108
19,Gaara,Sasuke,105
20,Choji,Naruto,105
21,Burn,Oli,104
22,Hinata,Kiba,95
23,Naruto,Shikamaru,94
24,Arashi,Sasame,92
25,Orochimaru,Tsunade,88
26,Hokage,Naruto,88
27,Raiga,Ranmaru,84
28,Akio,Gantetsu,83
29,Hinata,Neji,83
30,Choji,Shikamaru,82
31,Sasuke,Shikamaru,82
32,Jiraiya,Naruto,81
33,Akahoshi,Sumaru,80
34,Chishima,Toki,80
35,Mizuki,Naruto,76
36,Gaara,Naruto,74
37,Hinata,Shino,70
38,Orochimaru,Sasame,70
39,Naruto,–,70
40,Iruka,Mizuki,69
41,Moso,Sagi,68
42,Kakashi,Sakura,68
43,Neji,Sasuke,67
44,Naruto,Shino,66
45,Lee,Sakura,65
46,Ino,Sasuke,65
47,Gaara,Lee,64
48,Naruto,Pervy,64
49,Arashi,Orochimaru,62
50,Itachi,Sasuke,60
51,Kurenai,Naruto,60
52,Sagi,Toki,59
53,Byakugan,Naruto,59
54,Sasuke,Tsunade,58
55,Lee,Neji,57
56,Komei,Moso,54
57,Naruto,Zabuza,53
58,Akamaru,Hinata,53
59,Jiraiya,Tsunade,53
60,Naruto,Rasengan,53
61,Jutsu,Sasuke,51
62,Hokage,Sasuke,51
63,Choji,Hinata,50
64,Arashi,Naruto,50
65,Konohamaru,Naruto,50
66,Komei,Sagi,50
67,Naruto,Yakumo,47
68,Mizuki,Orochimaru,46
69,Jutsu,Naruto,45
70,Bushy,Lee,44
71,Kabuto,Sasuke,44
72,Kiba,Shino,44
73,Gantetsu,Todoroki,43
74,Chishima,Naruto,43
75,Byakugan,Hinata,43
76,Choji,Neji,42
77,Akio,Todoroki,41
78,Kakashi,Zabuza,41
79,Guy,Naruto,41
80,Menma,Naruto,41
81,Sasuke,Uchiha,40
82,Choji,Kiba,40
83,Choji,Sasuke,40
84,Bushy,Naruto,39
85,Kimimaro,Orochimaru,39
86,Naruto,Ninja,39
87,Hinata,Sasuke,39
88,Byakugan,Neji,39
89,Naruto,Toki,37
90,Jiraiya,Orochimaru,37
91,Naruto,Tazuna,37
92,Natsuhiboshi,Sumaru,36
93,Sakura,Shikamaru,36
94,Kurenai,Sensei,35
95,Kakashi,Lee,34
96,Choji,Ino,34
97,Ino,Naruto,34
98,Chishima,Sagi,34
99,Naruto,Sasame,34
100,Chidori,Sasuke,34
101,Sasuke,Yoroi,33
102,Haruna,Naruto,33
103,Gantetsu,Naruto,32
104,Shizune,Tsunade,32
105,Guy,Sasuke,32
106,Anko,Orochimaru,32
107,Ino,Shikamaru,32
108,Akio,Naruto,31
109,Sakura,Tsunade,31
110,Guy,Kakashi,31
111,Karashi,Sansho,31
112,Kurenai,Sakura,31
113,Jiraiya,Pervy,30
114,Haruna,Kikunojou,30
115,Orochimaru,Sakura,30
116,Hokage,Tsunade,30
117,Hanzaki,Sasame,30
118,Sensei,Yakumo,30
119,Kiba,Shikamaru,30
120,Hinata,Kurenai,29
121,Kurenai,Shino,29
122,Natsuhi,Sumaru,29
123,Hanzaki,Orochimaru,29
124,Kiba,Sasuke,29
125,Kiba,Neji,29
126,Choji,Yurinojou,28
127,Chunin,Sasuke,28
128,Ninja,Sasuke,28
129,Murakumo,Yakumo,28
130,Kabuto,Orochimaru,28
131,Owashi,Sagi,28
132,Naruto,Yurinojou,27
133,Naruto,Sagi,27
134,Arashi,Sasuke,27
135,Kiba,Kurenai,27
136,Neji,Tenten,27
137,Fujin,Raijin,27
138,Guy,Sakura,26
139,Iruka,Sasuke,26
140,Itachi,Naruto,26
141,Chen,Peking,26
142,Sasuke,Zabuza,25
143,Moso,Owashi,25
144,Hinata,Sakura,25
145,Hiashi,Hizashi,25
146,Lee,Tenten,24
147,Gaara,Kankuro,24
148,Akamaru,Sasuke,24
149,Sakura,Sasame,24
150,Naruto,Sensei,24
151,Naruto,the,24
152,Kabuto,Tsunade,24
153,Komei,Owashi,24
154,Gaara,Yashamaru,23
155,Pervy,Sasuke,23
156,Manda,Orochimaru,23
157,Naruto,Shizune,23
158,Itachi,Kisame,23
159,Naruto,Tenten,23
160,Hokage,Orochimaru,23
161,Naruto,The,23
162,Akamaru,Tsunade,23
163,Neji,Shikamaru,23
164,Orochimaru,Pervy,23
165,Akamaru,Shino,23
